main conditions: 
    jump: 10, alpha: 1, vtol: 1.0e-9
  viteration 2 elapsed time: 0.03164792060852051 seconds
probably reached convergance 5538.843892736077
viter total elapsed time: 0.12277984619140625 seconds
piteration 8 elapsed time: 0.3660409450531006 seconds
  viteration 1 elapsed time: 0.06737208366394043 seconds
probably reached convergance 5538.843892736077
viter total elapsed time: 0.09262895584106445 seconds
reached convergance 5538.843892736077
elapsed time: 4.742379903793335 seconds
main conditions: 
    jump: 10, alpha: 1, vtol: 1.0e9
    piter: 1:100, viter: 1:7
piteration 1 elapsed time: 0.34867310523986816 seconds
  viteration 1 elapsed time: 0.03203606605529785 seconds
  viteration 2 elapsed time: 0.06918811798095703 seconds
  viteration 3 elapsed time: 0.03148198127746582 seconds
  viteration 4 elapsed time: 0.03244495391845703 seconds
  viteration 5 elapsed time: 0.06845402717590332 seconds
  viteration 6 elapsed time: 0.03220796585083008 seconds
  viteration 7 elapsed time: 0.0692131519317627 seconds
viter total elapsed time: 0.33588385581970215 seconds
piteration 2 elapsed time: 0.3485450744628906 seconds
  viteration 1 elapsed time: 0.03226184844970703 seconds
  viteration 2 elapsed time: 0.0671689510345459 seconds
  viteration 3 elapsed time: 0.031591176986694336 seconds
  viteration 4 elapsed time: 0.07014679908752441 seconds
  viteration 5 elapsed time: 0.03153204917907715 seconds
  viteration 6 elapsed time: 0.0324101448059082 seconds
  viteration 7 elapsed time: 0.06856203079223633 seconds
viter total elapsed time: 0.33452701568603516 seconds
piteration 3 elapsed time: 0.34897804260253906 seconds
  viteration 1 elapsed time: 0.03229808807373047 seconds
  viteration 2 elapsed time: 0.06772613525390625 seconds
  viteration 3 elapsed time: 0.031852006912231445 seconds
  viteration 4 elapsed time: 0.0687718391418457 seconds
  viteration 5 elapsed time: 0.03144502639770508 seconds
  viteration 6 elapsed time: 0.03258204460144043 seconds
  viteration 7 elapsed time: 0.06784987449645996 seconds
viter total elapsed time: 0.3333740234375 seconds
piteration 4 elapsed time: 0.34747886657714844 seconds
  viteration 1 elapsed time: 0.03226208686828613 seconds
  viteration 2 elapsed time: 0.0668940544128418 seconds
  viteration 3 elapsed time: 0.0321807861328125 seconds
  viteration 4 elapsed time: 0.06863594055175781 seconds
  viteration 5 elapsed time: 0.03179788589477539 seconds
  viteration 6 elapsed time: 0.0687108039855957 seconds
  viteration 7 elapsed time: 0.03154397010803223 seconds
viter total elapsed time: 0.33286309242248535 seconds
piteration 5 elapsed time: 0.34696292877197266 seconds
  viteration 1 elapsed time: 0.032299041748046875 seconds
